DATAHORA,NUM_OCORRENCIA,COD_TIPO_OCORRENCIA,DESC_TIPO_OCORRENCIA,COD_SUBTIPO_OCORRENCIA,DESC_SUBTIPO_OCORRENCIA,BAIRRO,MUNICIPIO,ENDERECO,REFERENCIA,AREA,Y,X,LATITUDE,LONGITUDE,Ano,Mes,Dia,date,Hora_Completa,Periodo,lat,lng
20210114094825ES,M11852039,AVERIGUA,AVERIGUACAO DE SUSPEITO,default,,MADALENA,RECIFE,R  HERCILIO CUNHA 65,BIG BOMPREÃ‡O DA BENFICA,13BPM,910877288,28964636,-805820557998.925,-349087725889829,2021,01,14,14-01-2021,9:48:00 AM,Manhã,-8.05820557998925,-34.9087725889829
20210114103218ES,M11852086,ENTORPEC,ENTORPECENTES E DROGAS AFINS,ENTORP6,PORTE,,,,,8BPM,911964784,-19610867,-79164321353.201,-393031708886797,2021,01,14,14-01-2021,10:32:00 AM,Manhã,-7.79164321353201,-39.3031708886797
20210114103230ES,M11852087,RECEPTAC,RECEPTACAO,default,,,,,,5BPM,896038382,-32803633,-932487779559.662,-405196421179546,2021,01,14,14-01-2021,10:32:00 AM,Manhã,-9.32487779559662,-40.5196421179546
20210114104512ES,M11852098,AGRESSAO,AGRESSAO,MARIADAPENHA,MARIA DA PENHA,DIVINOPOLIS,CARUARU,RUA  EMILIO DE MENEZES 118,NA RUA DO COLEGIO DOM VITAL,4BPM,908342661,17191940,-828080318723.105,-359779286638274,2021,01,14,14-01-2021,10:45:00 AM,Manhã,-8.28080318723105,-35.9779286638274
20210114104513ES,M11852099,AMEACA,AMEACA,MARIADAPENHA,MARIA DA PENHA,SANTA ROSA,CARUARU,RUA DO INDICO 99, ESCOLA JOEL FONTES  // CRECHE MUNICIPAL ,4BPM,908198029,17340332,-829396830633.197,-359645696709175,2021,01,14,14-01-2021,10:45:00 AM,Manhã,-8.29396830633197,-35.9645696709175
20210114173707ES,M11852509,ENTORPEC,ENTORPECENTES E DROGAS AFINS,ENTORP5,OUTROS,,,,,2BPM,914936127,24483871,-768926803489.769,-35313118657298,2021,01,14,14-01-2021,5:37:00 PM,Tarde,-7.68926803489769,-35.5313118657298
20210114175719ES,M11852533,RECEPTAC,RECEPTACAO,default,,CENTRO(PAULISTA),PAULISTA,ROD  PE-015,DE FRENTE AO SHOPPING NORTE WAY ,17BPM,912154200,29307076,-79429080957.396,-34877182335773,2021,01,14,14-01-2021,5:57:00 PM,Tarde,-7.79429080957396,-34.4877182335773
20210114233347ES,M11853211,PERTUBAC,PERTURBACAO TRABALHO OU SOSSEGO,VEICULO,VEICULO EM VIA PUBLICA,,,,,4CIP,900830426,-8363994,-893340823928.592,-383017194616539,2021,01,14,14-01-2021,11:33:00 PM,Noite,-8.93340823928592,-38.3017194616539
20210114233421ES,M11853212,PERTUBAC,PERTURBACAO TRABALHO OU SOSSEGO,VEICULO,VEICULO EM VIA PUBLICA,CENTRO(IGARASSU),IGARASSU,AV  SEVERINO TAVARES UCHOA 881,AO LADO DA LOTÃ‰RICA,26BPM,913436819,28817103,-782675053729.184,-349210787330806,2021,01,14,14-01-2021,11:34:00 PM,Noite,-7.82675053729184,-34.9210787330806
20210115141628ES,M11853903,DIRECAO2,DIRECAO PERIGOSA DE VEICULO,default,,,,,,9CIP,914780319,-32624034,-764450276670.007,-404706865367968,2021,01,15,15-01-2021,2:16:00 PM,Tarde,-7.64450276670007,-40.4706865367968
20210115144227ES,M11853935,ATRITO_V,ATRITO VERBAL,default,,JARDIM FRAGOSO,OLINDA,R DO AMOR 20,FERRO VELHO DE BAL / HOTEL,1BPM,911638520,29579246,-79896402855.863,-348527106504336,2021,01,15,15-01-2021,2:42:00 PM,Tarde,-7.79896402855863,-34.8527106504336
20210115195646ES,M11854404,DIRECAO2,DIRECAO PERIGOSA DE VEICULO,default,,,,,,7BPM,911764527,-29207127,-792039371148.456,-401680433338936,2021,01,15,15-01-2021,7:56:00 PM,Noite,-7.92039371148456,-40.1680433338936
20210116011724ES,M11855549,AGRESSAO,AGRESSAO,AGR1F,OUTRAS,SAPUCAIA DE DENTRO,OLINDA,R  FRAGATA 514,RUA DA Ã”IA /APÃ“S A CASA DO VEREADOR  MARCIO BARBOSA ,1BPM,911583576,29213956,-799445774002.669,-34885862903895,2021,01,16,16-01-2021,1:17:00 AM,Madrugada,-7.99445774002669,-34.4885862903895
20210116013234ES,M11855586,ENTORPEC,ENTORPECENTES E DROGAS AFINS,ENTORP6,PORTE,,,,,3BPM,905784389,3327904,-850021884520.259,-372368407276293,2021,01,16,16-01-2021,1:32:00 AM,Madrugada,-8.50021884520259,-37.2368407276293
20210116143325ES,M11856508,AVERIGUA,AVERIGUACAO DE SUSPEITO,default,,BOMBA DO HEMETERIO,RECIFE,R  RIOLANDIA 153,ENTRADA NA RUA DA PADARIA DANIELE/ BANCA MONT OURO,11BPM,911287704,29081720,-802115119816.722,-348979797151881,2021,01,16,16-01-2021,2:33:00 PM,Tarde,-8.02115119816722,-34.8979797151881
20210116145054ES,M11856538,MAUS_TRA,MAUS TRATOS,MAUST3,A ANIMAIS,,,,,15BPM,908755733,14916144,-824190376607.607,-361839878538653,2021,01,16,16-01-2021,2:50:00 PM,Tarde,-8.24190376607607,-36.1839878538653
20210120183822ES,M11866476,RECEPTAC,RECEPTACAO,default,,CENTRO (CARUARU),CARUARU,RUA  SANTA CLARA 196,,4BPM,908413835,17185985,-827436993793.265,-359784203396854,2021,01,20,20-01-2021,6:38:00 PM,Noite,-8.27436993793265,-35.9784203396854
20210120184556ES,M11866495,CRIANCA,CRIANCA E ADOLESCENTE,CRIAD1,INFRATORA,BOA VIAGEM,RECIFE,AV ENG DOMINGOS FERREIRA 3647,ANTIGO LAÃ‡A BURGUER // FARMÃCIA DROGASIL,19BPM,910195011,29086370,-811993801583.453,-348980190527742,2021,01,20,20-01-2021,6:45:00 PM,Noite,-8.11993801583453,-34.8980190527742
20210120184559ES,M11866497,AMEACA,AMEACA,MARIADAPENHA,MARIA DA PENHA,CANDEIAS,JABOATÃƒO DOS GUARARAPES,R  CARNAIBA 10,BARRACA DE SEU EMANUEL,6BPM,909179304,28727477,-821160759506.821,-349310191497234,2021,01,20,20-01-2021,6:45:00 PM,Noite,-8.21160759506821,-34.9310191497234
20210120222230ES,M11866835,AVERIGUA,AVERIGUACAO DE SUSPEITO,default,,,,,,5BPM,896038382,-32803633,-932487779559.662,-405196421179546,2021,01,20,20-01-2021,10:22:00 PM,Noite,-9.32487779559662,-40.5196421179546
20210120224054ES,M11866872,AMEACA,AMEACA,MARIADAPENHA,MARIA DA PENHA,TORROES,RECIFE,R  ZUMBI DOS PALMARES 1104,LOJINHA DE FRANCE // DRIELE MODA,12BPM,910862228,28629095,-805942420386.763,-349392146044236,2021,01,20,20-01-2021,10:40:00 PM,Noite,-8.05942420386763,-34.9392146044236
20210120224105ES,M11866874,AVERIGUA,AVERIGUACAO DE SUSPEITO,default,,ZONA RURAL,CARUARU,RODOVIA  BR-104,VILA RAFAEL - FABRICA DO GALEGO - POSTO. GAS. RENASCER,4BPM,910844927,16407231,-805424693271.444,-360473709419497,2021,01,20,20-01-2021,10:41:00 PM,Noite,-8.05424693271444,-36.0473709419497
20210121010320ES,M11867086,AVERIGUA,AVERIGUACAO DE SUSPEITO,default,,,,,,7BPM,911764527,-29207127,-792039371148.456,-401680433338936,2021,01,21,21-01-2021,1:03:00 AM,Madrugada,-7.92039371148456,-40.1680433338936
20210121011537ES,M11867108,AVERIGUA,AVERIGUACAO DE SUSPEITO,default,,CAJUEIRO SECO,JABOATÃƒO DOS GUARARAPES,R  BELA VISTA 376,PROX AO ANTIGO BAR DE MAGALI/5Âª ETAPA OLHO D'AGUA,6BPM,909552655,28652751,-817782322028.314,-349376364058257,2021,01,21,21-01-2021,1:15:00 AM,Madrugada,-8.17782322028314,-34.9376364058257
20210121031602ES,M11867185,FURTO,FURTO,11H,OUTRO,BOA VIAGEM,RECIFE,R CON ROMEU 410,POR TRÃS DO PARQUE DONA LINDU/ CANAL,19BPM,909998005,28987432,-813770622424.059,-34907078935242,2021,01,21,21-01-2021,3:16:00 AM,Madrugada,-8.13770622424059,-34.4907078935242
20210121062613ES,M11867236,TENTATIV,TENTATIVA DE HOMICIDIO,default,,CASA CAIADA,OLINDA,R PRF OLIMPIO MAGALHAES 250,POR TRAS DO MAX/2 Â°PONTE/ TERMINAL DE CASA CAIADA ,1BPM,911750600,29743304,-797957372573.712,-348377861361502,2021,01,21,21-01-2021,6:26:00 AM,Manhã,-7.97957372573712,-34.8377861361502
20210121090306ES,M11867286,COLISAO1,COLISAO ENTRE VEICULOS,TRAN1A,COM VITIMA FERIDA / LIVRE DE FERRAGENS,MARANGUAPE II,PAULISTA,ROD  PE-022,PRÃ“XIMO A ENTRADA DE MANÃ‰ PÃ,17BPM,912401720,29602613,-792065044498.299,-348502819230406,2021,01,21,21-01-2021,9:03:00 AM,Manhã,-7.92065044498299,-34.8502819230406
