DATAHORA,NUM_OCORRENCIA,COD_TIPO_OCORRENCIA,DESC_TIPO_OCORRENCIA,COD_SUBTIPO_OCORRENCIA,DESC_SUBTIPO_OCORRENCIA,BAIRRO,MUNICIPIO,ENDERECO,REFERENCIA,AREA,Y,X,LATITUDE,LONGITUDE,Ano,Mes,Dia,date,Hora_Completa,Periodo,lat,lng
20210102205032ES,M11829613,FUGA_DE,FUGA DE PRESOS,default,,PINHEIROPOLIS,CARUARU,RODOVIA  BR-104,KM 67 / AO LADO DA RODOVIARIA CARUARUENCE,4BPM,910474648,16588427,-808781507680.029,-360311990081776,2021,01,02,02-01-2021,8:50:00 PM,Noite,-8.08781507680029,-36.0311990081776
20210103235025ES,M11833398,VIAS_DE,VIAS DE FATO,default,,PACHECO,JABOATÃƒO DOS GUARARAPES,R PRF JOAQUIM AMAZONAS 159,TERMINAL DO PACHECO / BANCA MIRIM DA SORTE,25BPM,910449999,28382023,-809658368825.901,-349618051706532,2021,01,03,03-01-2021,11:50:00 PM,Noite,-8.09658368825901,-34.9618051706532
20210103235242ES,M11833409,AGRESSAO,AGRESSAO,MARIADAPENHA,MARIA DA PENHA,,,,,5BPM,896038382,-32803633,-932487779559.662,-405196421179546,2021,01,03,03-01-2021,11:52:00 PM,Noite,-9.32487779559662,-40.5196421179546
20210104182840ES,M11834459,ROUBO,ROUBO,12F,DE VEICULO,BOA VIAGEM,RECIFE,AV CNSO AGUIAR,NA FRENTE HABBIS ,19BPM,910324828,29176567,-810823997062.248,-348897814190967,2021,01,04,04-01-2021,6:28:00 PM,Noite,-8.10823997062248,-34.8897814190967
20210105165513ES,M11835628,INVASAO,INVASAO ,14A,A DOMICILIO,JARDIM FRAGOSO,OLINDA,R  ANA RITA M DA SILVA 65,"NÂª 65,A RUA FICA EM FRENTE A FACULDADE FACHO ",1BPM,911665427,29552772,-798719692155.833,-348551007082276,2021,01,05,05-01-2021,4:55:00 PM,Tarde,-7.98719692155833,-34.8551007082276
20210106225753ES,M11837441,AGRESSAO,AGRESSAO,MARIADAPENHA,MARIA DA PENHA,PEIXINHOS,OLINDA,R STO AMARO 295,POSTO BR ,1BPM,911420028,29280414,-800927096395.581,-348799033402924,2021,01,06,06-01-2021,10:57:00 PM,Noite,-8.00927096395581,-34.8799033402924
20210106234023ES,M11837499,DISPARO1,DISPARO DE ARMA DE FOGO,default,,TAMARINEIRA,RECIFE,R CB HONORIO 41,"PRX A DENOX | APÃ“S A FERREIRA COSTA, 2Âª A DIREITA",11BPM,911198644,29080145,-802920202214.095,-348981599400427,2021,01,06,06-01-2021,11:40:00 PM,Noite,-8.02920202214095,-34.8981599400427
20210107004537ES,M11837585,RECEPTAC,RECEPTACAO,default,,,,,,15BPM,908755733,14916144,-824190376607.607,-361839878538653,2021,01,07,07-01-2021,12:45:00 AM,Madrugada,-8.24190376607607,-36.1839878538653
20210107202947ES,M11838463,ENTORPEC,ENTORPECENTES E DROGAS AFINS,ENTORP6,PORTE,,,,,11CIP,901743361,15807548,-887588787473.341,-361083104262011,2021,01,07,07-01-2021,8:29:00 PM,Noite,-8.87588787473341,-36.1083104262011
20210107203155ES,M11838467,AMEACA,AMEACA,AMEACA1,VERBAL,,,,,23BPM,914126651,-1039928,-774358422564.402,-376238668776184,2021,01,07,07-01-2021,8:31:00 PM,Noite,-7.74358422564402,-37.6238668776184
20210109035252ES,M11841092,RECEPTAC,RECEPTACAO,default,,CENTRO(CABO),CABO DE SANTO AGOSTINHO,ROD  PE-060,POSTO 06 BPRV/ OPERAÃ‡ÃƒO PENTAGONO,18BPM,907877285,27864493,-832892423534.382,-350099207883153,2021,01,09,09-01-2021,3:52:00 AM,Madrugada,-8.32892423534382,-35.0099207883153
20210109185928ES,M11842247,PRESO_PO,PRESO POR MANDADO DE PRISAO PREVENTIVA,default,,,,,,5BPM,896038382,-32803633,-932487779559.662,-405196421179546,2021,01,09,09-01-2021,6:59:00 PM,Noite,-9.32487779559662,-40.5196421179546
20210109190016ES,M11842249,AVERIGUA,AVERIGUACAO DE SUSPEITO,default,,CORDEIRO,RECIFE,R  TAMBORIL 86,CHESF | CAMARÃƒO DO LÃ‰O | RESTAURANTE ARENA CAMARÃƒO,13BPM,910873115,28730975,-805848360016.722,-349299688554725,2021,01,09,09-01-2021,7:00:00 PM,Noite,-8.05848360016722,-34.9299688554725
20210109191309ES,M11842286,VIAS_DE,VIAS DE FATO,MARIADAPENHA,MARIA DA PENHA,BULTRINS,OLINDA,R SRG CARLOS PIMENTEL 8,APÃ“S A BARRACA DE KINHO,1BPM,911510487,29600215,-800122397839.078,-348508610719008,2021,01,09,09-01-2021,7:13:00 PM,Noite,-8.00122397839078,-34.8508610719008
20210109192725ES,M11842331,PERTUBAC,PERTURBACAO TRABALHO OU SOSSEGO,RESIDENCIA,RESIDENCIA,MANGUEIRA,RECIFE,R  QUADRO SOUSA LEAO 239,ESTAÃ‡ÃƒO DE METRO DA MANGUEIRA,12BPM,910657459,28845078,-807802832320.008,-349197110648807,2021,01,09,09-01-2021,7:27:00 PM,Noite,-8.07802832320008,-34.9197110648807
20210109195038ES,M11842416,ATRITO_V,ATRITO VERBAL,default,,AREIAS,RECIFE,R  ERNESTO NAZARETH 99-B,VILA TAMANDARÃ‰/POR TRÃS DO CONJ. RES. INÃŠS ANDREAZA,12BPM,910490415,28783760,-809310352858.971,-349253448876819,2021,01,09,09-01-2021,7:50:00 PM,Noite,-8.09310352858971,-34.9253448876819
20210109195041ES,M11842417,ABANDON1,ABANDONO OU EXPOSICAO DE RECEM-NASCIDO,default,,,,,,9BPM,899128580,8795177,-910604026643.426,-367473518189581,2021,01,09,09-01-2021,7:50:00 PM,Noite,-9.10604026643426,-36.7473518189581
20210109195053ES,M11842419,DIRECAO1,DIRECAO DE VEICULO SEM HABILITACAO,default,,,,,,5CIPM,908800756,21875384,-824235244487.419,-355528676531036,2021,01,09,09-01-2021,7:50:00 PM,Noite,-8.24235244487419,-35.5528676531036
20210109195112ES,M11842421,ENTORPEC,ENTORPECENTES E DROGAS AFINS,ENTORP7,TRAFICO,,,,,2BPM,914936127,24483871,-768926803489.769,-35313118657298,2021,01,09,09-01-2021,7:51:00 PM,Noite,-7.68926803489769,-35.5313118657298
20210109202815ES,M11842552,ENTORPEC,ENTORPECENTES E DROGAS AFINS,ENTORP3,ENCONTRO,,,,,10CIP,904090723,25880402,-867022542891.995,-351919352274429,2021,01,09,09-01-2021,8:28:00 PM,Noite,-8.67022542891995,-35.1919352274429
20210109221452ES,M11843014,VIAS_DE,VIAS DE FATO,default,,CENTENARIO,CARUARU,RUA  SERGIPE 115,PROXIMO A PRAÃ‡A SÃƒO ROQUE,4BPM,908313400,17207678,-828345701570.957,-359765213494767,2021,01,09,09-01-2021,10:14:00 PM,Noite,-8.28345701570957,-35.9765213494767
20210110025916ES,M11844386,AGRESSAO,AGRESSAO,MARIADAPENHA,MARIA DA PENHA,NOVA TIUMA,SÃƒO LOURENÃ‡O DA MATA,R  L 132,,20BPM,911640412,27365964,-798852093600.511,-350534300135795,2021,01,10,10-01-2021,2:59:00 AM,Madrugada,-7.98852093600511,-35.0534300135795
20210110110825ES,M11844986,MORTE,MORTE A ESCLARECER,default,,,,,,2BPM,914936127,24483871,-768926803489.769,-35313118657298,2021,01,10,10-01-2021,11:08:00 AM,Manhã,-7.68926803489769,-35.5313118657298
20210110110545ES,M11844983,AVERIGUA,AVERIGUACAO DE SUSPEITO,default,,JARDIM SAO PAULO,RECIFE,AV  PIRACICABA 598,EM FRENTE AO GALPÃƒO DA LARANJA ,12BPM,910663660,28549921,-807734118449.443,-349464820059583,2021,01,10,10-01-2021,11:05:00 AM,Manhã,-8.07734118449443,-34.9464820059583
20210110110826ES,M11844987,REVISTA,REVISTA EM ESTABELECIMENTO PRISIONAL,default,,,,,,9CIP,914780319,-32624034,-764450276670.007,-404706865367968,2021,01,10,10-01-2021,11:08:00 AM,Manhã,-7.64450276670007,-40.4706865367968
20210110152542ES,M11845398,AMEACA,AMEACA,MARIADAPENHA,MARIA DA PENHA,SANTO AMARO,RECIFE,R  PERNAMBUCO 22,SHOPPING TACARUNA/,16BPM,911092792,29357679,-803888710092.516,-348730310808717,2021,01,10,10-01-2021,3:25:00 PM,Tarde,-8.03888710092516,-34.8730310808717
20210110182801ES,M11845912,INVASAO,INVASAO ,14B,A ESTABELECIMENTO COMERCIAL,ENCRUZILHADA,RECIFE,R DR JOSE MARIA 610,PROX AO EXTRA BOM,13BPM,911129122,29099348,-803549520557.347,-348964473867706,2021,01,10,10-01-2021,6:28:00 PM,Noite,-8.03549520557347,-34.8964473867706
20210110182815ES,M11845913,AMEACA,AMEACA,MARIADAPENHA,MARIA DA PENHA,JORDAO BAIXO,RECIFE,2Âª_TV  FLORES DO ORIENTE 20,IGREJA GIDEÃ•ES DA VITÃ“RIA| ,19BPM,910078920,28688092,-813026282857.639,-349342011279269,2021,01,10,10-01-2021,6:28:00 PM,Noite,-8.13026282857639,-34.9342011279269
20210110183959ES,M11845952,AMEACA,AMEACA,default,,MURIBECA DOS GUARARAPES,JABOATÃƒO DOS GUARARAPES,R PST SANTANA 5,ESCOLA BARAO DE MURIBECA 1Â° ESQ,6BPM,909628588,28007034,-817067377948.638,-349961883908547,2021,01,10,10-01-2021,6:39:00 PM,Noite,-8.17067377948638,-34.9961883908547
20210110184024ES,M11845954,DIRECAO1,DIRECAO DE VEICULO SEM HABILITACAO,default,,,,,,8BPM,911964784,-19610867,-79164321353.201,-393031708886797,2021,01,10,10-01-2021,6:40:00 PM,Noite,-7.79164321353201,-39.3031708886797
20210110184027ES,M11845955,AVERIGUA,AVERIGUACAO DE SUSPEITO,default,,,,,,5BPM,896038382,-32803633,-932487779559.662,-405196421179546,2021,01,10,10-01-2021,6:40:00 PM,Noite,-9.32487779559662,-40.5196421179546
20210110212013ES,M11846639,INVASAO,INVASAO ,14A,A DOMICILIO,,,,,9CIP,914780319,-32624034,-764450276670.007,-404706865367968,2021,01,10,10-01-2021,9:20:00 PM,Noite,-7.64450276670007,-40.4706865367968
20210110211454ES,M11846611,PERTUBAC,PERTURBACAO TRABALHO OU SOSSEGO,VEICULO,VEICULO EM VIA PUBLICA,IMBIRIBEIRA,RECIFE,R  BULGARIA 195,MERCADO ASSAI / FACULDADE DE BOA VIAGEM,19BPM,910379218,28912244,-810321098742.789,-349137370830281,2021,01,10,10-01-2021,9:14:00 PM,Noite,-8.10321098742789,-34.9137370830281
20210110211456ES,M11846612,AGRESSAO,AGRESSAO,AGR1E,FISICA SEM LESAO CORPORAL,AGUAS COMPRIDAS,OLINDA,R  SEIS DE JANEIRO 4,ACADEMIIA DE FELIPE ,1BPM,911645176,29095368,-798883953368.123,-348965923401556,2021,01,10,10-01-2021,9:14:00 PM,Noite,-7.98883953368123,-34.8965923401556
20210110211504ES,M11846613,TENTATIV,TENTATIVA DE HOMICIDIO,default,,CEU AZUL,CAMARAGIBE,R  PORTO RICO 32,PROXIMO A BARRACA DE SR LALÃ,20BPM,911468573,28108149,-800438411211.275,-349862000033842,2021,01,10,10-01-2021,9:15:00 PM,Noite,-8.00438411211275,-34.9862000033842
20210111005843ES,M11847673,DIRECAO1,DIRECAO DE VEICULO SEM HABILITACAO,default,,NOSSA SENHORA DAS DORES,CARUARU,RUA  CAPITAO LUIS DOS REIS 120,,4BPM,908268361,17298093,-828758656953.857,-359683525577614,2021,01,11,11-01-2021,12:58:00 AM,Madrugada,-8.28758656953857,-35.9683525577614
20210111005418ES,M11847664,PERTUBAC,PERTURBACAO TRABALHO OU SOSSEGO,VEICULO,VEICULO EM VIA PUBLICA,BRASILIA TEIMOSA,RECIFE,R  PORAQUE 266,LANCHONETE DE SEBASTIAO,19BPM,910593145,29282451,-808402699798.808,-348800631866126,2021,01,11,11-01-2021,12:54:00 AM,Madrugada,-8.08402699798808,-34.8800631866126
20210111130638ES,M11848223,ENTORPEC,ENTORPECENTES E DROGAS AFINS,ENTORP7,TRAFICO,,,,,9BPM,899128580,8795177,-910604026643.426,-367473518189581,2021,01,11,11-01-2021,1:06:00 PM,Tarde,-9.10604026643426,-36.7473518189581
20210112015844ES,M11849201,ROUBO,ROUBO,12G,A TRANSEUNTE,JARDIM ATLANTICO,OLINDA,R  ROGACIANO DE SANTANA 623,BAR DE CAU/ NA RUA DO MERCADO POPULAR,1BPM,911894557,29732083,-796655427645.835,-348387456639003,2021,01,12,12-01-2021,1:58:00 AM,Madrugada,-7.96655427645835,-34.8387456639003
20210112053504ES,M11849271,ROUBO,ROUBO,12G,A TRANSEUNTE,SETUBAL,RECIFE,R  ANTONIO VICENTE 169,ESQUINA ESCOLA COM A SANTOS DUMONT/ ,19BPM,910055477,28982546,-813250843368.104,-349074976419095,2021,01,12,12-01-2021,5:35:00 AM,Madrugada,-8.13250843368104,-34.9074976419095
20210112065810ES,M11849294,AMEACA,AMEACA,MARIADAPENHA,MARIA DA PENHA,,,,,5BPM,896038382,-32803633,-932487779559.662,-405196421179546,2021,01,12,12-01-2021,6:58:00 AM,Manhã,-9.32487779559662,-40.5196421179546
20210113095340ES,M11850687,AMEACA,AMEACA,AMEACA1,VERBAL,CAMPO GRANDE,RECIFE,R  LENIRA 86,PROX AO 13ÂºBPM,13BPM,911092793,29265937,-803884899531.266,-348813524505269,2021,01,13,13-01-2021,9:53:00 AM,Manhã,-8.03884899531266,-34.8813524505269
20210113094836ES,M11850684,ENTORPEC,ENTORPECENTES E DROGAS AFINS,ENTORP1,CULTIVO,,,,,22BPM,913866444,20323990,-77837231290.872,-35690574067551,2021,01,13,13-01-2021,9:48:00 AM,Manhã,-7.77837231290872,-35.5690574067551
20210113095426ES,M11850689,AGRESSAO,AGRESSAO,MARIADAPENHA,MARIA DA PENHA,PEIXINHOS,OLINDA,AV FR ANTONIO JABOATAO 72,CONHECIDA POR RUA DO COLORAL ,1BPM,911394962,29406215,-801158895483.484,-3486850382186,2021,01,13,13-01-2021,9:54:00 AM,Manhã,-8.01158895483484,-34.3486850382186
20210113095715ES,M11850690,ATRITO_V,ATRITO VERBAL,MARIADAPENHA,MARIA DA PENHA,CENTRO(CAMARAGIBE),CAMARAGIBE,R  ELIZA CABRAL DE SOUZA 702,SALÃƒO DA PATY/ IGR ASSEMBLEIA DE DEUS ABREU E LIMA ,20BPM,911261473,28163883,-802313040353.286,-349812360285796,2021,01,13,13-01-2021,9:57:00 AM,Manhã,-8.02313040353286,-34.9812360285796
20210113102642ES,M11850703,ROUBO,ROUBO,12G,A TRANSEUNTE,PIEDADE,JABOATÃƒO DOS GUARARAPES,AV  BERNARDO VIEIRA DE MELO 3459,AGENCIA SANTANDER,6BPM,909533210,28874458,-817967706865.358,-349175287734889,2021,01,13,13-01-2021,10:26:00 AM,Manhã,-8.17967706865358,-34.9175287734889
20210113102107ES,M11850700,AGRESSAO,AGRESSAO,MARIADAPENHA,MARIA DA PENHA,AGUAS COMPRIDAS,OLINDA,R  GILBRATAR 227,CORREGO DA BONDADE / PROX. A IGREJA ASSEMB.,1BPM,911712531,29011525,-798271535093.401,-349041679935123,2021,01,13,13-01-2021,10:21:00 AM,Manhã,-7.98271535093401,-34.9041679935123
20210113233450ES,M11851670,EMBRIAGU,EMBRIAGUEZ ALCOOLICA,default,,,,,,3CIPM,916124665,28406045,-758358891752.727,-349572264703845,2021,01,13,13-01-2021,11:34:00 PM,Noite,-7.58358891752727,-34.9572264703845
20210113234041ES,M11851676,PORTE,PORTE ILEGAL DE ARMA,default,,,,,,9BPM,899128580,8795177,-910604026643.426,-367473518189581,2021,01,13,13-01-2021,11:40:00 PM,Noite,-9.10604026643426,-36.7473518189581
20210113235525ES,M11851695,PERTUBAC,PERTURBACAO TRABALHO OU SOSSEGO,RESIDENCIA,RESIDENCIA,ZUMBI DO PACHECO,RECIFE,R  RIACHO DOCE,RUA APÃ“S O CANAL/ AÃ‡OUGUE CENTRAL DA CARNE,25BPM,910005947,28442812,-81367531882.732,-349564851269097,2021,01,13,13-01-2021,11:55:00 PM,Noite,-8.81367531882732,-34.9564851269097
20210114003640ES,M11851742,PERTUBAC,PERTURBACAO TRABALHO OU SOSSEGO,RESIDENCIA,RESIDENCIA,OURO PRETO,OLINDA,R  CAPIXABA 31,PROXIMO AO TERMINAL DE OURO PRETO- COHAB ,1BPM,911533712,29440334,-799905900492.952,-34865352200525,2021,01,14,14-01-2021,12:36:00 AM,Madrugada,-7.99905900492952,-34.4865352200525
20210114202725ES,M11852791,PROTECA1,PROTECAO DE PESSOAS,default,,,,,,21BPM,908993440,24721578,-822649844784.902,-35294568511098,2021,01,14,14-01-2021,8:27:00 PM,Noite,-8.22649844784902,-35.5294568511098
20210114205503ES,M11852847,DISPARO1,DISPARO DE ARMA DE FOGO,default,,AFOGADOS,RECIFE,R CNSO FURTADO 88,"MATERNIDADE BANDEIRA FILHO , ",12BPM,910663085,28946978,-807756299381.065,-349104652457587,2021,01,14,14-01-2021,8:55:00 PM,Noite,-8.07756299381065,-34.9104652457587
20210114205520ES,M11852848,AMEACA,AMEACA,MARIADAPENHA,MARIA DA PENHA,,,,,9BPM,899128580,8795177,-910604026643.426,-367473518189581,2021,01,14,14-01-2021,8:55:00 PM,Noite,-9.10604026643426,-36.7473518189581
20210115180252ES,M11854189,RECEPTAC,RECEPTACAO,default,,CAMPO GRANDE,RECIFE,AV  LUIS CORREIA DE BRITO 483,GIRADOR DA ESTRADA DE BELEM,13BPM,911223472,29330491,-802706155737.843,-348754429083417,2021,01,15,15-01-2021,6:02:00 PM,Noite,-8.02706155737843,-34.8754429083417
20210115201000ES,M11854438,RECEPTAC,RECEPTACAO,default,,PONTEZINHA,CABO DE SANTO AGOSTINHO,R  UM 248,,18BPM,908898218,28209576,-823678955794.968,-349781388158789,2021,01,15,15-01-2021,8:10:00 PM,Noite,-8.23678955794968,-34.9781388158789
20210116181046ES,M11856942,PERTUBAC,PERTURBACAO TRABALHO OU SOSSEGO,VEICULO,VEICULO EM VIA PUBLICA,,,,,3BPM,905784389,3327904,-850021884520.259,-372368407276293,2021,01,16,16-01-2021,6:10:00 PM,Noite,-8.50021884520259,-37.2368407276293
20210116181007ES,M11856939,AMEACA,AMEACA,AMEACA3,COM ARMA DE FOGO,SUCUPIRA,JABOATÃƒO DOS GUARARAPES,R  PARAGUAI 75,RUA AO LADO DO COLÃ‰GIO SENADOR PETRÃ”NIO PORTELA ,25BPM,910373786,28330201,-810345080334.846,-349665395087755,2021,01,16,16-01-2021,6:10:00 PM,Noite,-8.10345080334846,-34.9665395087755
20210116181110ES,M11856944,AMEACA,AMEACA,AMEACA1,VERBAL,BULTRINS,OLINDA,AV GOV CARLOS DE LIMA CAVALCANTE 326,PROX: AO LADO DA PEDRAGON///EMERGENCIA HAPVIDA,1BPM,911521234,29650399,-800027274700.473,-348463051511002,2021,01,16,16-01-2021,6:11:00 PM,Noite,-8.00027274700473,-34.8463051511002
20210116184638ES,M11857053,AGRESSAO,AGRESSAO,MARIADAPENHA,MARIA DA PENHA,,,,,5CIPM,908800756,21875385,-824235244545.179,-355528675623954,2021,01,16,16-01-2021,6:46:00 PM,Noite,-8.24235244545179,-35.5528675623954
20210116195803ES,M11857276,AMEACA,AMEACA,MARIADAPENHA,MARIA DA PENHA,NOSSA SRA CONCEICAO,PAULISTA,R  BELO HORIZONTE 391,RUA AO LADO DO CASARAO/,17BPM,912665552,29721673,-789684551620.833,-348393798855423,2021,01,16,16-01-2021,7:58:00 PM,Noite,-7.89684551620833,-34.8393798855423
20210116203736ES,M11857418,CHOQUE_D,CHOQUE DE VEICULO,TRAN7C,SEM VITIMA,IPUTINGA,RECIFE,AV  CAXANGA,AO LADO DA FARMACIA DROGASIL,13BPM,911054099,28669741,-804209590664.447,-349354454246203,2021,01,16,16-01-2021,8:37:00 PM,Noite,-8.04209590664447,-34.9354454246203
20210116203756ES,M11857420,EMBRIAGU,EMBRIAGUEZ ALCOOLICA,default,,GAIBU,CABO DE SANTO AGOSTINHO,R  JOAQUIM RODRIGUES DA CUNHA 149,CENTRO DE GAIBU //,18BPM,907804636,28482487,-833577180479.008,-349538617340888,2021,01,16,16-01-2021,8:37:00 PM,Noite,-8.33577180479008,-34.9538617340888
20210116214839ES,M11857820,ROUBO,ROUBO,12F,DE VEICULO,,,,,9BPM,899128580,8795177,-910604026643.426,-367473518189581,2021,01,16,16-01-2021,9:48:00 PM,Noite,-9.10604026643426,-36.7473518189581
20210116214524ES,M11857796,DANO_/_D,DANO / DEPREDACAO,MARIADAPENHA,MARIA DA PENHA,,,,,3BPM,905784389,3327904,-850021884520.259,-372368407276293,2021,01,16,16-01-2021,9:45:00 PM,Noite,-8.50021884520259,-37.2368407276293
20210116214529ES,M11857798,AGRESSAO,AGRESSAO,MARIADAPENHA,MARIA DA PENHA,SAPUCAIA,OLINDA,R  TUNISIA 501,VAREJÃƒO BOM DE PREÃ‡O,1BPM,911523905,29212158,-799985160635.961,-348860507644869,2021,01,16,16-01-2021,9:45:00 PM,Noite,-7.99985160635961,-34.8860507644869
20210116221719ES,M11857974,ENTORPEC,ENTORPECENTES E DROGAS AFINS,ENTORP6,PORTE,,,,,14BPM,911845930,-7606639,-794216611278.255,-382197434607745,2021,01,16,16-01-2021,10:17:00 PM,Noite,-7.94216611278255,-38.2197434607745
20210117010922ES,M11858926,COVID19,COVID-19,COVID01,AGLOMERACAO DE PESSOAS,,,,,23BPM,914126651,-1039928,-774358422564.402,-376238668776184,2021,01,17,17-01-2021,1:09:00 AM,Madrugada,-7.74358422564402,-37.6238668776184
20210117095615ES,M11859841,ATRITO_V,ATRITO VERBAL,default,,CANDEIAS,JABOATÃƒO DOS GUARARAPES,R  BELO HORIZONTE 538,EM FRENTE AO NÂº 130,6BPM,909216395,28725424,-820825357938.011,-349311892332338,2021,01,17,17-01-2021,9:56:00 AM,Manhã,-8.20825357938011,-34.9311892332338
20210117101625ES,M11859856,AVERIGUA,AVERIGUACAO DE SUSPEITO,default,,,,,,21BPM,908993440,24721578,-822649844784.902,-35294568511098,2021,01,17,17-01-2021,10:16:00 AM,Manhã,-8.22649844784902,-35.5294568511098
20210117205108ES,M11861689,RECEPTAC,RECEPTACAO,default,,,,,,3CIPM,916124665,28406045,-758358891752.727,-349572264703845,2021,01,17,17-01-2021,8:51:00 PM,Noite,-7.58358891752727,-34.9572264703845
20210117210702ES,M11861765,ENTORPEC,ENTORPECENTES E DROGAS AFINS,ENTORP8,USO,,,,,8CIP,908518025,9746007,-825936509045.427,-366527829900231,2021,01,17,17-01-2021,9:07:00 PM,Noite,-8.25936509045427,-36.6527829900231
20210117210608ES,M11861760,PERTUBAC,PERTURBACAO TRABALHO OU SOSSEGO,VEICULO,VEICULO EM VIA PUBLICA,PONTE DOS CARVALHOS,CABO DE SANTO AGOSTINHO,R DA LINHA,PRÃ“XIMO A ESTAÃ‡ÃƒO ,18BPM,908449665,27710588,-827711178212.024,-350236244524113,2021,01,17,17-01-2021,9:06:00 PM,Noite,-8.27711178212024,-35.0236244524113
20210118092613ES,M11863293,AGRESSAO,AGRESSAO,MARIADAPENHA,MARIA DA PENHA,RIO DOCE 2a ETAPA,OLINDA,AV  MEXICO 54,DEPOSITO DE GÃS ,1BPM,911914876,29686403,-796469887480.437,-348428801635108,2021,01,18,18-01-2021,9:26:00 AM,Manhã,-7.96469887480437,-34.8428801635108
20210118092902ES,M11863295,AGRESSAO,AGRESSAO,AGR1D,FISICA COM LESAO CORPORAL,CASA CAIADA,OLINDA,AV GOV CARLOS DE LIMA CAVALCANTE 3355,  SUPER MERCADO  MAX / POSTO DE COMBUSTIVEL BR ,1BPM,911784901,29777008,-79764861805.985,-348347155872573,2021,01,18,18-01-2021,9:29:00 AM,Manhã,-7.79764861805985,-34.8347155872573
20210118094842ES,M11863303,AGRESSAO,AGRESSAO,MARIADAPENHA,MARIA DA PENHA,CENTRO(JABOATAO),JABOATÃƒO DOS GUARARAPES,R BR_DE LUCENA 278,DEFRONTE  LOJAS  AMERICANAS  ,25BPM,910283571,27824697,-811138235486.152,-350124355319156,2021,01,18,18-01-2021,9:48:00 AM,Manhã,-8.11138235486152,-35.0124355319156
20210118102247ES,M11863317,RECEPTAC,RECEPTACAO,default,,PADRE ROMA,JABOATÃƒO DOS GUARARAPES,R  REGINALDO RODRIGUES MONTEIRO 151,SERÃ CONDUZIDO PARA A DELEGACIA DE JABOATÃƒO CENTRO,25BPM,910227363,27816473,-811645978814.431,-350132068517538,2021,01,18,18-01-2021,10:22:00 AM,Manhã,-8.11645978814431,-35.0132068517538
20210118102224ES,M11863316,AGRESSAO,AGRESSAO,MARIADAPENHA,MARIA DA PENHA,,,,,24BPM,912197398,12790021,-792955467370.416,-363741316477206,2021,01,18,18-01-2021,10:22:00 AM,Manhã,-7.92955467370416,-36.3741316477206
20210120002751ES,M11865732,FURTO,FURTO,11H,OUTRO,CAMPO GRANDE,RECIFE,R NS_DA GLORIA 247,TERMINAL DE CAMPO GRANDE ,13BPM,911167783,29298118,-803208279329.186,-348784023253826,2021,01,20,20-01-2021,12:27:00 AM,Madrugada,-8.03208279329186,-34.8784023253826
20210120002817ES,M11865733,CHOQUE_D,CHOQUE DE VEICULO,TRAN7C,SEM VITIMA,ALDEIA,CAMARAGIBE,ESTR DE ALDEIA,KILOMETRO 12 // PLACA JARDIM JERICO,20BPM,911531564,28340657,-799879058579.718,-349650863047217,2021,01,20,20-01-2021,12:28:00 AM,Madrugada,-7.99879058579718,-34.9650863047217
20210120002820ES,M11865734,ESTUPRO,ESTUPRO,default,,BOA VIAGEM,RECIFE,AV  ARMINDO MOURA,VILA MILITAR DA ERONAUTICA /AO  LADO SEGUNDO POMAR  ,19BPM,909872416,28935697,-814903788860.612,-349118264383089,2021,01,20,20-01-2021,12:28:00 AM,Madrugada,-8.14903788860612,-34.9118264383089
20210120003727ES,M11865743,ABANDON2,ABANDONO DE INCAPAZ,default,,,,,,9BPM,899128580,8795177,-910604026643.426,-367473518189581,2021,01,20,20-01-2021,12:37:00 AM,Madrugada,-9.10604026643426,-36.7473518189581
20210120004904ES,M11865757,PERTUBAC,PERTURBACAO TRABALHO OU SOSSEGO,RESIDENCIA,RESIDENCIA,JARDIM JORDAO,JABOATÃƒO DOS GUARARAPES,1Âª_TV D EXPEDITO LOPES 113,LOJA A  BARATINHA/ ESCOLA CECILIA MARIA,6BPM,909798824,28766867,-81556183.228,-349271756415483,2021,01,20,20-01-2021,12:49:00 AM,Madrugada,-8.-81556183228,-34.9271756415483
20210120014903ES,M11865802,HOMICIDI,HOMICIDIO,default,,,,,,7CIP,903809077,-26050202,-86395800670.854,-398962734462567,2021,01,20,20-01-2021,1:49:00 AM,Madrugada,-8.86395800670854,-39.8962734462567
20210120193202ES,M11866551,AGRESSAO,AGRESSAO,MARIADAPENHA,MARIA DA PENHA,VARZEA,RECIFE,R  MARQUES DE MARIALVA,PRÃ“XIMO A ESTAÃ‡ÃƒO DE COSME E DAMIÃƒO ,12BPM,911103332,28132339,-803741265027.742,-349841663215019,2021,01,20,20-01-2021,7:32:00 PM,Noite,-8.03741265027742,-34.9841663215019
20210120203353ES,M11866637,MORTE,MORTE A ESCLARECER,default,,,,,,3BPM,905784389,3327904,-850021884520.259,-372368407276293,2021,01,20,20-01-2021,8:33:00 PM,Noite,-8.50021884520259,-37.2368407276293
20210121145149ES,M11867590,AVERIGUA,AVERIGUACAO DE SUSPEITO,default,,RIO AMBAR,ITAMARACÃ,AV  BEIRA MAR 36,PROX AO NÂº 2098  /  BAR DO PERU,26BPM,914610407,29803019,-772104449216.189,-348312377636762,2021,01,21,21-01-2021,2:51:00 PM,Tarde,-7.72104449216189,-34.8312377636762
